Date,Inflation_Ukraine_actual,Inflation_Eurozone_actual,Counterfactual_pure,Counterfactual_weighted,theta_sovereignty
2014-07-01,12.6,0.4,1.2531144746553604,1.2531144746553604,1.0
2014-08-01,14.2,0.4,1.998996495430967,1.998996495430967,1.0
2014-09-01,17.5,0.3,2.6559477508144598,2.6559477508144598,1.0
2014-10-01,19.8,0.4,3.2925578443041514,3.2925578443041514,1.0
2014-11-01,21.8,0.3,3.653760926996616,3.653760926996616,1.0
2014-12-01,24.9,-0.2,3.61693502682117,3.61693502682117,1.0
2015-01-01,28.5,-0.6,3.6212256186800498,3.6212256186800498,1.0
2015-02-01,34.5,-0.3,4.245419190870432,4.245419190870432,1.0
2015-03-01,45.8,-0.1,4.7740890427974385,4.7740890427974385,1.0
2015-04-01,60.9,0.2,5.376263544730889,5.376263544730889,1.0
2015-05-01,58.4,0.6,5.951087978360995,5.951087978360995,1.0
2015-06-01,57.5,0.5,5.910031400637752,5.910031400637752,1.0
2015-07-01,55.3,0.6,5.991021821841818,5.991021821841818,1.0
2015-08-01,52.8,0.4,5.551225587797126,5.551225587797126,1.0
2015-09-01,51.9,0.2,4.976715200990278,4.976715200990278,1.0
2015-10-01,46.4,0.4,4.844658804456594,4.844658804456594,1.0
2015-11-01,46.6,0.1,4.341631471853101,4.341631471853101,1.0
2015-12-01,43.3,0.2,4.197071347904767,4.197071347904767,1.0
2016-01-01,40.3,0.3,3.8119570648675376,3.8119570648675376,1.0
2016-02-01,32.7,-0.1,2.5625562815140035,2.5625562815140035,1.0
2016-03-01,20.9,0.0,1.8598440152349753,1.8598440152349753,1.0
2016-04-01,9.8,-0.3,0.9579377350024334,0.9579377350024334,1.0
2016-05-01,7.5,-0.1,0.7525972483092332,0.7525972483092332,1.0
2016-06-01,6.9,0.1,0.8103673556993952,0.8103673556993952,1.0
2016-07-01,7.9,0.2,0.7525684441304206,0.7525684441304206,1.0
2016-08-01,8.4,0.2,0.38636669551762204,0.38636669551762204,1.0
2016-09-01,7.9,0.4,0.15206362684525612,0.15206362684525612,1.0
2016-10-01,12.4,0.5,-0.1264499238173047,-0.1264499238173047,1.0
2016-11-01,12.1,0.6,-0.5019926604017243,-0.5019926604017243,1.0
2016-12-01,12.4,1.1,-0.4620538561589618,-0.4620538561589618,1.0
2017-01-01,12.6,1.7,-0.13347493873285243,-0.13347493873285243,1.0
2017-02-01,14.2,2.0,0.2591450117239411,0.2591450117239411,1.0
2017-03-01,15.1,1.5,-0.09811858073796875,-0.09811858073796875,1.0
2017-04-01,12.2,1.9,0.4356726697023421,0.4356726697023421,1.0
2017-05-01,13.5,1.4,-0.05522813449315822,-0.05522813449315822,1.0
2017-06-01,15.6,1.3,-0.38771802802713284,-0.38771802802713284,1.0
2017-07-01,15.9,1.3,-0.4968085801093072,-0.4968085801093072,1.0
2017-08-01,16.2,1.5,-0.33291228359398595,-0.33291228359398595,1.0
2017-09-01,16.4,1.6,-0.24433163668420765,-0.24433163668420765,1.0
2017-10-01,14.6,1.4,-0.41934791904749624,-0.41934791904749624,1.0
2017-11-01,13.6,1.5,-0.2776223268639184,-0.2776223268639184,1.0
2017-12-01,13.7,1.3,-0.3717590075754613,-0.3717590075754613,1.0
2018-01-01,14.1,1.3,-0.3989484205268785,-0.3989484205268785,1.0
2018-02-01,14.0,1.1,-0.789224832220967,-0.789224832220967,1.0
2018-03-01,13.2,1.4,-0.6669921299841737,-0.6669921299841737,1.0
2018-04-01,13.1,1.2,-1.0415715005417747,-1.0415715005417747,1.0
2018-05-01,11.7,2.0,-0.3606648065812226,-0.3606648065812226,1.0
2018-06-01,9.9,2.0,-0.3739254602987989,-0.3739254602987989,1.0
2018-07-01,8.9,2.2,-0.20981580570204894,-0.20981580570204894,1.0
2018-08-01,9.0,2.1,-0.2675454096252561,-0.2675454096252561,1.0
2018-09-01,8.9,2.1,-0.16532739468916535,-0.16532739468916535,1.0
2018-10-01,9.5,2.3,0.06594369430138514,0.06594369430138514,1.0
2018-11-01,10.0,1.9,-0.3119609976616884,-0.3119609976616884,1.0
2018-12-01,9.8,1.5,-0.6495226560934682,-0.6495226560934682,1.0
2019-01-01,9.2,1.4,-0.6053658934408199,-0.6053658934408199,1.0
2019-02-01,8.8,1.5,-0.29842536744466575,-0.29842536744466575,1.0
